restaurant_id,item_id,name,category,price,ingredients,is_vegetarian,spice_level
REST-DXB-001,ITEM-104,Aloo Tikki Chaat,Starter,21.45,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-DXB-001,ITEM-105,Chicken Seekh Kebab,Starter,41.07,"Minced Chicken, Spices, Onion",False,Medium
REST-DXB-001,ITEM-201,Paneer Butter Masala,Main Course,43.54,"Paneer, Tomato, Cream, Butter",True,Mild
REST-DXB-001,ITEM-202,Dal Makhani,Main Course,38.64,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-DXB-001,ITEM-203,Palak Paneer,Main Course,40.73,"Spinach, Paneer, Spices",True,Medium
REST-DXB-001,ITEM-204,Malai Kofta,Main Course,43.85,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-DXB-001,ITEM-205,Chole Bhature,Main Course,40.67,"Chickpeas, Fried Bread, Spices",True,Medium
REST-DXB-001,ITEM-301,Butter Chicken,Main Course,52.25,"Chicken, Tomato, Butter, Cream",False,Mild
REST-DXB-001,ITEM-302,Chicken Tikka Masala,Main Course,49.28,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-DXB-001,ITEM-303,Lamb Rogan Josh,Main Course,62.71,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-DXB-001,ITEM-304,Fish Curry,Main Course,56.46,"Fish, Coconut, Curry Leaves",False,Hot
REST-DXB-001,ITEM-305,Chicken Biryani,Main Course,48.04,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-DXB-001,ITEM-401,Naan,Bread,8.38,"Flour, Yogurt, Yeast",True,None
REST-DXB-001,ITEM-402,Garlic Naan,Bread,9.73,"Flour, Garlic, Butter",True,None
REST-DXB-001,ITEM-403,Butter Naan,Bread,9.41,"Flour, Butter, Milk",True,None
REST-DXB-001,ITEM-404,Tandoori Roti,Bread,5.82,Whole Wheat Flour,True,None
REST-DXB-001,ITEM-405,Jeera Rice,Rice,17.93,"Basmati Rice, Cumin Seeds",True,None
REST-DXB-001,ITEM-406,Vegetable Biryani,Rice,40.54,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-DXB-001,ITEM-501,Gulab Jamun (2 pcs),Dessert,14.82,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-DXB-001,ITEM-502,Rasmalai (2 pcs),Dessert,18.7,"Cottage Cheese, Milk, Saffron",True,None
REST-DXB-001,ITEM-503,Kulfi,Dessert,20.8,"Milk, Cardamom, Pistachios",True,None
REST-DXB-001,ITEM-504,Gajar Halwa,Dessert,21.89,"Carrot, Milk, Ghee, Sugar",True,None
REST-DXB-001,ITEM-601,Masala Chai,Beverage,11.52,"Tea, Milk, Spices",True,None
REST-DXB-001,ITEM-602,Mango Lassi,Beverage,18.48,"Mango, Yogurt, Sugar",True,None
REST-DXB-001,ITEM-603,Sweet Lassi,Beverage,15.51,"Yogurt, Sugar, Cardamom",True,None
REST-DXB-001,ITEM-604,Fresh Lime Soda,Beverage,12.21,"Lime, Soda, Salt/Sugar",True,None
REST-DXB-002,ITEM-101,Samosa (2 pcs),Starter,17.35,"Potato, Peas, Spices, Pastry",True,Medium
REST-DXB-002,ITEM-102,Paneer Tikka,Starter,33.8,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-DXB-002,ITEM-103,Chicken 65,Starter,38.08,"Chicken, Curry Leaves, Spices",False,Hot
REST-DXB-002,ITEM-104,Aloo Tikki Chaat,Starter,20.92,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-DXB-002,ITEM-105,Chicken Seekh Kebab,Starter,42.14,"Minced Chicken, Spices, Onion",False,Medium
REST-DXB-002,ITEM-201,Paneer Butter Masala,Main Course,42.88,"Paneer, Tomato, Cream, Butter",True,Mild
REST-DXB-002,ITEM-202,Dal Makhani,Main Course,38.19,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-DXB-002,ITEM-203,Palak Paneer,Main Course,41.92,"Spinach, Paneer, Spices",True,Medium
REST-DXB-002,ITEM-204,Malai Kofta,Main Course,45.21,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-DXB-002,ITEM-205,Chole Bhature,Main Course,41.26,"Chickpeas, Fried Bread, Spices",True,Medium
REST-DXB-002,ITEM-301,Butter Chicken,Main Course,53.75,"Chicken, Tomato, Butter, Cream",False,Mild
REST-DXB-002,ITEM-302,Chicken Tikka Masala,Main Course,52.42,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-DXB-002,ITEM-303,Lamb Rogan Josh,Main Course,66.96,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-DXB-002,ITEM-304,Fish Curry,Main Course,54.13,"Fish, Coconut, Curry Leaves",False,Hot
REST-DXB-002,ITEM-305,Chicken Biryani,Main Course,48.79,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-DXB-002,ITEM-401,Naan,Bread,8.09,"Flour, Yogurt, Yeast",True,None
REST-DXB-002,ITEM-402,Garlic Naan,Bread,10.01,"Flour, Garlic, Butter",True,None
REST-DXB-002,ITEM-403,Butter Naan,Bread,9.2,"Flour, Butter, Milk",True,None
REST-DXB-002,ITEM-404,Tandoori Roti,Bread,5.99,Whole Wheat Flour,True,None
REST-DXB-002,ITEM-405,Jeera Rice,Rice,17.26,"Basmati Rice, Cumin Seeds",True,None
REST-DXB-002,ITEM-406,Vegetable Biryani,Rice,42.98,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-DXB-002,ITEM-501,Gulab Jamun (2 pcs),Dessert,15.61,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-DXB-002,ITEM-502,Rasmalai (2 pcs),Dessert,18.81,"Cottage Cheese, Milk, Saffron",True,None
REST-DXB-002,ITEM-503,Kulfi,Dessert,20.01,"Milk, Cardamom, Pistachios",True,None
REST-DXB-002,ITEM-504,Gajar Halwa,Dessert,23.02,"Carrot, Milk, Ghee, Sugar",True,None
REST-DXB-002,ITEM-601,Masala Chai,Beverage,12.22,"Tea, Milk, Spices",True,None
REST-DXB-002,ITEM-602,Mango Lassi,Beverage,18.88,"Mango, Yogurt, Sugar",True,None
REST-DXB-002,ITEM-603,Sweet Lassi,Beverage,15.39,"Yogurt, Sugar, Cardamom",True,None
REST-DXB-002,ITEM-604,Fresh Lime Soda,Beverage,11.83,"Lime, Soda, Salt/Sugar",True,None
REST-SHJ-001,ITEM-101,Samosa (2 pcs),Starter,17.13,"Potato, Peas, Spices, Pastry",True,Medium
REST-SHJ-001,ITEM-102,Paneer Tikka,Starter,33.64,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-SHJ-001,ITEM-103,Chicken 65,Starter,37.88,"Chicken, Curry Leaves, Spices",False,Hot
REST-SHJ-001,ITEM-104,Aloo Tikki Chaat,Starter,21.29,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-SHJ-001,ITEM-105,Chicken Seekh Kebab,Starter,42.15,"Minced Chicken, Spices, Onion",False,Medium
REST-SHJ-001,ITEM-201,Paneer Butter Masala,Main Course,45.3,"Paneer, Tomato, Cream, Butter",True,Mild
REST-SHJ-001,ITEM-202,Dal Makhani,Main Course,39.36,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-SHJ-001,ITEM-203,Palak Paneer,Main Course,41.78,"Spinach, Paneer, Spices",True,Medium
REST-SHJ-001,ITEM-204,Malai Kofta,Main Course,42.49,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-SHJ-001,ITEM-205,Chole Bhature,Main Course,38.38,"Chickpeas, Fried Bread, Spices",True,Medium
REST-SHJ-001,ITEM-301,Butter Chicken,Main Course,50.96,"Chicken, Tomato, Butter, Cream",False,Mild
REST-SHJ-001,ITEM-302,Chicken Tikka Masala,Main Course,48.15,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-SHJ-001,ITEM-303,Lamb Rogan Josh,Main Course,64.95,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-SHJ-001,ITEM-304,Fish Curry,Main Course,52.7,"Fish, Coconut, Curry Leaves",False,Hot
REST-SHJ-001,ITEM-305,Chicken Biryani,Main Course,46.26,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-SHJ-001,ITEM-401,Naan,Bread,8.36,"Flour, Yogurt, Yeast",True,None
REST-SHJ-001,ITEM-402,Garlic Naan,Bread,10.5,"Flour, Garlic, Butter",True,None
REST-SHJ-001,ITEM-403,Butter Naan,Bread,9.33,"Flour, Butter, Milk",True,None
REST-SHJ-001,ITEM-404,Tandoori Roti,Bread,5.78,Whole Wheat Flour,True,None
REST-SHJ-001,ITEM-405,Jeera Rice,Rice,17.97,"Basmati Rice, Cumin Seeds",True,None
REST-SHJ-001,ITEM-406,Vegetable Biryani,Rice,43.65,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-SHJ-001,ITEM-501,Gulab Jamun (2 pcs),Dessert,14.39,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-SHJ-001,ITEM-502,Rasmalai (2 pcs),Dessert,17.85,"Cottage Cheese, Milk, Saffron",True,None
REST-SHJ-001,ITEM-503,Kulfi,Dessert,20.06,"Milk, Cardamom, Pistachios",True,None
REST-SHJ-001,ITEM-504,Gajar Halwa,Dessert,21.8,"Carrot, Milk, Ghee, Sugar",True,None
REST-SHJ-001,ITEM-601,Masala Chai,Beverage,12.54,"Tea, Milk, Spices",True,None
REST-SHJ-001,ITEM-602,Mango Lassi,Beverage,18.14,"Mango, Yogurt, Sugar",True,None
REST-SHJ-001,ITEM-603,Sweet Lassi,Beverage,15.06,"Yogurt, Sugar, Cardamom",True,None
REST-SHJ-001,ITEM-604,Fresh Lime Soda,Beverage,11.47,"Lime, Soda, Salt/Sugar",True,None
