review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000027,ORD-20260220-930237,CUST-10217,REST-AUH-002,Exceptional quality! Ordered Samosa (2 pcs) and everything was delicious. The Samosa (2 pcs) melted in my mouth. Perfect!,5,2026-02-22T15:20:27.717674
REV-000029,ORD-20260226-113264,CUST-10204,REST-AUH-001,Wow! Just wow! Vegetable Biryani  Paneer Butter Masala  Palak Paneer  and Mango Lassi were all fantastic. Paneer Butter Masala was particularly memorable. Can't wait to order again!,5,2026-03-01T20:55:57.717674
REV-000028,ORD-20260223-109426,CUST-10148,REST-DXB-001,Exceptional quality! Ordered Jeera Rice and Dal Makhani and everything was delicious. The Dal Makhani melted in my mouth. Perfect!,5,2026-03-02T14:30:21.717674
REV-000030,ORD-20260304-178870,CUST-10383,REST-DXB-002,Great food overall. Masala Chai were tasty  especially the Masala Chai. Would order again!,4,2026-03-07T14:48:23.717674
REV-000031,ORD-20260305-762314,CUST-10417,REST-DXB-001,Solid experience. Rasmalai (2 pcs) were well-prepared. Rasmalai (2 pcs) had great flavor. Minor issues with packaging.,4,2026-03-07T19:50:51.717674
REV-000033,ORD-20260314-325193,CUST-10246,REST-AUH-001,Wow! Just wow! Lamb Rogan Josh were all fantastic. Lamb Rogan Josh was particularly memorable. Can't wait to order again!,5,2026-03-16T11:40:51.717674
REV-000032,ORD-20260309-455525,CUST-10009,REST-AUH-002,Wow! Just wow! Lamb Rogan Josh and Butter Naan were all fantastic. Butter Naan was particularly memorable. Can't wait to order again!,5,2026-03-16T12:58:10.717674
REV-000034,ORD-20260316-778166,CUST-10324,REST-DXB-001,Hands down the best Lamb Rogan Josh I've ever had! Palak Paneer  Lamb Rogan Josh  and Chicken Biryani were all prepared beautifully. Fresh and flavorful!,5,2026-03-19T15:13:57.717674
REV-000035,ORD-20260321-401643,CUST-10418,REST-AUH-002,Really good Aloo Tikki Chaat  Fish Curry  and Fresh Lime Soda! The Fresh Lime Soda was delicious. Slight delay in delivery but food quality made up for it.,4,2026-03-22T19:17:20.717674
REV-000037,ORD-20260330-499528,CUST-10098,REST-DXB-001,Best Indian food in UAE! Chicken Biryani  Palak Paneer  Sweet Lassi  Paneer Butter Masala  and Gulab Jamun (2 pcs) were incredible. Palak Paneer had the perfect balance of spices. Five stars!,5,2026-04-02T22:03:47.717674
REV-000036,ORD-20260328-616814,CUST-10123,REST-DXB-002,Outstanding experience! The Naan  Rasmalai (2 pcs)  Gulab Jamun (2 pcs)  Paneer Tikka  and Paneer Butter Masala exceeded all expectations. Paneer Tikka was the star of the meal. Will definitely order again!,5,2026-04-04T21:05:13.717674
REV-000038,ORD-20260331-834756,CUST-10116,REST-AUH-002,Hands down the best Mango Lassi I've ever had! Mango Lassi were all prepared beautifully. Fresh and flavorful!,5,2026-04-07T14:13:44.717674
REV-000039,ORD-20260407-854848,CUST-10354,REST-AUH-001,Perfect in every way! Gulab Jamun (2 pcs) and Aloo Tikki Chaat were all excellent. Aloo Tikki Chaat stood out with its rich  authentic taste.,5,2026-04-09T20:01:46.717674
REV-000040,ORD-20260409-572297,CUST-10211,REST-AUH-002,Really good Malai Kofta  Naan  Kulfi  and Gulab Jamun (2 pcs)! The Gulab Jamun (2 pcs) was delicious. Slight delay in delivery but food quality made up for it.,4,2026-04-12T19:29:25.717674
REV-000041,ORD-20260412-388747,CUST-10335,REST-DXB-001,Best Indian food in UAE! Masala Chai  Fish Curry  Samosa (2 pcs)  and Chole Bhature were incredible. Fish Curry had the perfect balance of spices. Five stars!,5,2026-04-13T19:12:15.717674
REV-000042,ORD-20260413-327620,CUST-10211,REST-SHJ-001,Hands down the best Chicken Seekh Kebab I've ever had! Chicken Seekh Kebab and Butter Naan were all prepared beautifully. Fresh and flavorful!,5,2026-04-17T21:38:30.717674
REV-000044,ORD-20260429-717348,CUST-10111,REST-DXB-001,Really good Aloo Tikki Chaat! The Aloo Tikki Chaat was delicious. Slight delay in delivery but food quality made up for it.,4,2026-04-30T14:23:20.717674
REV-000043,ORD-20260428-911664,CUST-10415,REST-AUH-002,Wow! Just wow! Chole Bhature  Kulfi  Samosa (2 pcs)  and Mango Lassi were all fantastic. Chole Bhature was particularly memorable. Can't wait to order again!,5,2026-04-30T21:53:49.717674
REV-000046,ORD-20260506-156680,CUST-10045,REST-SHJ-001,Absolutely amazing Dal Makhani  Paneer Tikka  Samosa (2 pcs)  and Aloo Tikki Chaat! The Paneer Tikka was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-05-08T15:28:11.717674
REV-000045,ORD-20260505-765292,CUST-10105,REST-DXB-002,Exceptional quality! Ordered Vegetable Biryani and Palak Paneer and everything was delicious. The Vegetable Biryani melted in my mouth. Perfect!,5,2026-05-09T14:42:33.717674
REV-000048,ORD-20260509-248045,CUST-10273,REST-AUH-001,Appalling quality! Fish Curry  Chicken 65  and Malai Kofta were swimming in oil. Chicken 65 was raw inside. Health hazard!,1,2026-05-10T22:17:46.717674
REV-000047,ORD-20260507-327635,CUST-10122,REST-AUH-001,Hands down the best Chicken 65 I've ever had! Chicken Biryani  Dal Makhani  and Chicken 65 were all prepared beautifully. Fresh and flavorful!,5,2026-05-12T21:49:43.717674
REV-000049,ORD-20260510-850572,CUST-10022,REST-AUH-002,Solid experience. Butter Chicken  Sweet Lassi  Vegetable Biryani  Gajar Halwa  and Fresh Lime Soda were well-prepared. Sweet Lassi had great flavor. Minor issues with packaging.,4,2026-05-13T17:52:37.717674
REV-000050,ORD-20260511-607677,CUST-10289,REST-DXB-002,Great food overall. Paneer Tikka  Fresh Lime Soda  and Sweet Lassi were tasty  especially the Paneer Tikka. Would order again!,4,2026-05-14T18:02:36.717674
REV-000051,ORD-20260512-540737,CUST-10307,REST-AUH-002,Not good. Tandoori Roti  Mango Lassi  and Butter Naan arrived late and cold. Butter Naan had barely any flavor. Poor quality.,2,2026-05-15T18:07:25.717674
REV-000052,ORD-20260514-920240,CUST-10010,REST-DXB-001,Hands down the best Paneer Butter Masala I've ever had! Paneer Butter Masala and Gulab Jamun (2 pcs) were all prepared beautifully. Fresh and flavorful!,5,2026-05-17T15:34:18.717674
REV-000054,ORD-20260517-478727,CUST-10253,REST-DXB-002,Perfect in every way! Tandoori Roti were all excellent. Tandoori Roti stood out with its rich  authentic taste.,5,2026-05-18T12:11:18.717674
REV-000053,ORD-20260516-561686,CUST-10168,REST-AUH-002,Outstanding experience! The Aloo Tikki Chaat  Malai Kofta  Chicken Seekh Kebab  Masala Chai  and Chole Bhature exceeded all expectations. Malai Kofta was the star of the meal. Will definitely order again!,5,2026-05-20T18:05:42.717674
REV-000055,ORD-20260526-727715,CUST-10188,REST-AUH-002,Average experience. Butter Naan  Paneer Tikka  Gulab Jamun (2 pcs)  and Gajar Halwa were fine but Butter Naan was a bit bland. Room for improvement.,3,2026-05-28T18:28:51.717674
REV-000056,ORD-20260528-741399,CUST-10388,REST-AUH-001,Perfect in every way! Samosa (2 pcs)  Butter Chicken  Dal Makhani  and Chicken Biryani were all excellent. Chicken Biryani stood out with its rich  authentic taste.,5,2026-06-03T19:52:53.717674
REV-000057,ORD-20260605-351698,CUST-10366,REST-DXB-001,Disaster! Butter Chicken  Paneer Butter Masala  Gajar Halwa  and Chicken Tikka Masala were all stale. Butter Chicken had a weird smell. Completely unacceptable!,1,2026-06-07T21:17:44.717674
REV-000058,ORD-20260608-128030,CUST-10487,REST-SHJ-001,Incredible meal! Gulab Jamun (2 pcs)  Masala Chai  Sweet Lassi  Butter Naan  and Chicken Tikka Masala arrived hot and fresh. The Masala Chai was absolutely divine. Highly satisfied!,5,2026-06-10T20:20:53.717674
REV-000062,ORD-20260613-474145,CUST-10393,REST-DXB-002,Mediocre. Samosa (2 pcs)  Malai Kofta  Butter Naan  Paneer Butter Masala  and Sweet Lassi were fine but forgettable. Butter Naan didn't stand out.,3,2026-06-14T22:11:33.717674
REV-000061,ORD-20260611-248768,CUST-10185,REST-DXB-002,Outstanding experience! The Kulfi exceeded all expectations. Kulfi was the star of the meal. Will definitely order again!,5,2026-06-15T22:38:55.717674
REV-000059,ORD-20260609-479149,CUST-10497,REST-DXB-001,Exceptional quality! Ordered Samosa (2 pcs) and everything was delicious. The Samosa (2 pcs) melted in my mouth. Perfect!,5,2026-06-16T22:55:06.717674
REV-000060,ORD-20260611-908455,CUST-10110,REST-DXB-002,Perfect in every way! Chicken Seekh Kebab  Sweet Lassi  Rasmalai (2 pcs)  and Mango Lassi were all excellent. Mango Lassi stood out with its rich  authentic taste.,5,2026-06-18T13:28:35.717674
REV-000063,ORD-20260614-708381,CUST-10243,REST-DXB-002,Appalling quality! Mango Lassi  Paneer Butter Masala  and Malai Kofta were swimming in oil. Paneer Butter Masala was raw inside. Health hazard!,1,2026-06-19T10:39:20.717674
REV-000064,ORD-20260615-300439,CUST-10154,REST-DXB-001,Pleasant meal! Vegetable Biryani arrived warm. Vegetable Biryani was tasty though not exceptional. Would order again.,4,2026-06-19T12:32:57.717674
REV-000065,ORD-20260617-665060,CUST-10381,REST-DXB-002,Absolutely amazing Jeera Rice! The Jeera Rice was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-06-20T11:23:14.717674
REV-000066,ORD-20260617-207240,CUST-10186,REST-DXB-001,Hands down the best Kulfi I've ever had! Butter Chicken  Kulfi  Paneer Butter Masala  and Vegetable Biryani were all prepared beautifully. Fresh and flavorful!,5,2026-06-23T15:34:44.717674
REV-000067,ORD-20260619-123867,CUST-10071,REST-AUH-002,Outstanding experience! The Lamb Rogan Josh  Chicken Biryani  and Rasmalai (2 pcs) exceeded all expectations. Rasmalai (2 pcs) was the star of the meal. Will definitely order again!,5,2026-06-25T12:22:13.717674
REV-000068,ORD-20260624-293363,CUST-10461,REST-AUH-001,Really good Masala Chai  Jeera Rice  Fresh Lime Soda  and Garlic Naan! The Garlic Naan was delicious. Slight delay in delivery but food quality made up for it.,4,2026-06-30T13:36:13.717674
REV-000069,ORD-20260624-366971,CUST-10049,REST-DXB-002,Great food overall. Masala Chai  Butter Chicken  Jeera Rice  Lamb Rogan Josh  and Malai Kofta were tasty  especially the Lamb Rogan Josh. Would order again!,4,2026-06-30T16:32:18.717674
REV-000070,ORD-20260627-365753,CUST-10194,REST-DXB-001,Wow! Just wow! Lamb Rogan Josh and Gulab Jamun (2 pcs) were all fantastic. Lamb Rogan Josh was particularly memorable. Can't wait to order again!,5,2026-07-01T20:22:23.717674
